R_th,R_v_0,R_v_1,R_v_2,R_v_3,Q_0,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Q_9,Q_10,Q_11,Q_12,Q_13,Q_14,Q_15,dt,meas_th,meas_vel_0,meas_vel_1,x0_0,x0_1,x0_2,x0_3,P0_0,P0_1,P0_2,P0_3,P0_4,P0_5,P0_6,P0_7,P0_8,P0_9,P0_10,P0_11,P0_12,P0_13,P0_14,P0_15,truth_0,truth_1,truth_2,truth_3
1.2184696791468344e-05,100.0,0.0,0.0,100.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0025,15.0,1.5131148680615607,3772.3952578297813,756.1578855404139,0.0,20000000.0,4500.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,9000000000000.0,0.0,0.0,0.0,0.0,640000.0,0.0,0.0,0.0,0.0,640000.0,1121995.9413189075,18224487.96796923,3769.044077128404,780.2114120182648
1.2184696791468344e-05,100.0,0.0,0.0,100.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0025,15.0,1.5066566847724523,3773.176587992931,763.5544798467362,0.0,20000000.0,4500.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,9000000000000.0,0.0,0.0,0.0,0.0,640000.0,0.0,0.0,0.0,0.0,640000.0,1178527.4626524476,18236053.49984999,3768.191350546269,761.998869438779
1.2184696791468344e-05,100.0,0.0,0.0,100.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0025,15.0,1.502430941248492,3767.3482388170687,737.4384693380437,0.0,20000000.0,4500.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,9000000000000.0,0.0,0.0,0.0,0.0,640000.0,0.0,0.0,0.0,0.0,640000.0,1235039.2246198547,18247347.846707042,3766.8363758751725,743.9604634735493
1.2184696791468344e-05,100.0,0.0,0.0,100.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0025,15.0,1.4968482239365737,3761.864712046265,725.5659920871107,0.0,20000000.0,4500.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,9000000000000.0,0.0,0.0,0.0,0.0,640000.0,0.0,0.0,0.0,0.0,640000.0,1291533.8073011518,18258373.498700492,3766.0253775978967,726.3044004114166
1.2184696791468344e-05,100.0,0.0,0.0,100.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0025,15.0,1.4998736265512496,3749.168592086743,704.0226252298125,0.0,20000000.0,4500.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,9000000000000.0,0.0,0.0,0.0,0.0,640000.0,0.0,0.0,0.0,0.0,640000.0,1348012.0451299748,18269135.613883965,3764.637721801769,708.4552451244417
1.2184696791468344e-05,100.0,0.0,0.0,100.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0025,15.0,1.4885833959173318,3787.4344178504716,709.1990398090127,0.0,20000000.0,4500.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,9000000000000.0,0.0,0.0,0.0,0.0,640000.0,0.0,0.0,0.0,0.0,640000.0,1404475.3852164415,18279626.75235626,3763.799586329665,690.5500439706229
1.2184696791468344e-05,100.0,0.0,0.0,100.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0025,15.0,1.4841951481786047,3782.3528857276438,684.6138315285731,0.0,20000000.0,4500.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,9000000000000.0,0.0,0.0,0.0,0.0,640000.0,0.0,0.0,0.0,0.0,640000.0,1460921.8890111363,18289852.101883236,3762.44249340613,673.0264792184441
1.2184696791468344e-05,100.0,0.0,0.0,100.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0025,15.0,1.4915320585683136,3747.6196740377154,655.8461041276091,0.0,20000000.0,4500.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,9000000000000.0,0.0,0.0,0.0,0.0,640000.0,0.0,0.0,0.0,0.0,640000.0,1517350.232414209,18299812.91802338,3761.22063052031,655.1905622305025
1.2184696791468344e-05,100.0,0.0,0.0,100.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0025,15.0,1.4810076359478133,3765.5465379621423,622.334658585717,0.0,20000000.0,4500.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,9000000000000.0,0.0,0.0,0.0,0.0,640000.0,0.0,0.0,0.0,0.0,640000.0,1573757.858620003,18309509.80665602,3759.7766394245305,637.6888754074037
1.2184696791468344e-05,100.0,0.0,0.0,100.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0025,15.0,1.4798176690435334,3748.4976661772953,607.7528677036486,0.0,20000000.0,4500.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,9000000000000.0,0.0,0.0,0.0,0.0,640000.0,0.0,0.0,0.0,0.0,640000.0,1630144.5007420895,18318944.06315708,3758.3078873102672,620.3040759327511
